loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'eval_loss': 7.4111857414245605, 'eval_map': 0.0, 'eval_map_50': 0.0001, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0001, 'eval_mar_1': 0.0009, 'eval_mar_10': 0.0009, 'eval_mar_100': 0.0009, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0, 'eval_mar_large': 0.0009, 'eval_map_Coverall': 0.0002, 'eval_mar_100_Coverall': 0.0047, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0, 'eval_mar_100_Gloves': 0.0, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 7.356, 'eval_samples_per_second': 20.12, 'eval_steps_per_second': 2.583, 'epoch': 3.0}
{'loss': 3.4421, 'grad_norm': 11.792990684509277, 'learning_rate': 0.0009977100324558511, 'epoch': 3.05}
{'loss': 3.396, 'grad_norm': 15.613204956054688, 'learning_rate': 0.0009975647912929557, 'epoch': 3.14}
{'loss': 3.398, 'grad_norm': 13.456693649291992, 'learning_rate': 0.0009974150959223592, 'epoch': 3.24}
{'loss': 4.0097, 'grad_norm': 24.933670043945312, 'learning_rate': 0.0009972609476841367, 'epoch': 3.33}
{'loss': 4.1931, 'grad_norm': 10.155648231506348, 'learning_rate': 0.0009971023479582257, 'epoch': 3.43}
{'loss': 3.7903, 'grad_norm': 17.335285186767578, 'learning_rate': 0.0009969392981644136, 'epoch': 3.52}
{'loss': 4.2018, 'grad_norm': 19.6644287109375, 'learning_rate': 0.0009967717997623245, 'epoch': 3.62}
{'loss': 3.5942, 'grad_norm': 17.223155975341797, 'learning_rate': 0.0009965998542514065, 'epoch': 3.71}
{'loss': 3.6641, 'grad_norm': 9.943344116210938, 'learning_rate': 0.0009964234631709187, 'epoch': 3.81}
{'loss': 3.7684, 'grad_norm': 7.32003927230835, 'learning_rate': 0.0009962426280999167, 'epoch': 3.9}
